State,code,District,code
,,Dharwad,8
,,Haveri,10
,,Bellary,11
,,Chitradurga,12
,,Davanagere,13
,,Gulbarga,25
,,Yadgir,26
Kerala,32,Kasaragod,1
,,Kannur,2
,,Wayanad,3
,,Kozhikode,4
,,Malappuram,5
,,Palakkad,6
,,Thrissur,7
,,Ernakulam,8
,,Idukki,9
,,Kottayam,10
,,Alappuzha,11
,,Pathanamthitta,12
,,Kollam,13
,,Thiruvananthapuram,14
Lakshadweep,31,Lakshadweep,1
Madhya Pradesh,23,Tikamgarh,7
,,Chhatarpur,8
,,Panna,9
,,Satna,12
,,Rewa,13
,,Umaria,14
,,Shahdol,43
,,Anuppur,44
,,Sidhi,45
,,Singrauli,46
,,Sagar,10
,,Damoh,11
,,Vidisha,26
,,Bhopal,27
,,Sehore,28
,,Raisen,29
,,Neemuch,15
,,Mandsaur,16
,,Ratlam,17
,,Ujjain,18
,,Shajapur,19
,,Dewas,20
,,Dhar,21
,,Indore,22
,,Rajgarh,25
,,Jhabua,47
,,Alirajpur,48
,,Katni,33
,,Jabalpur,34
,,Narsimhapur,35
,,Dindori,36
,,Mandla,37
,,Chhindwara,38
,,Seoni,39
,,Balaghat,40
,,Khargone (West Nimar),23
,,Barwani,24
,,Betul,30
,,Harda,31
,,Hoshangabad,32
,,Khandwa (East Nimar),49
,,Burhanpur,50
,,Sheopur,1
,,Morena,2
,,Bhind,3
,,Gwalior,4
,,Datia,5
,,Shivpuri,6
,,Guna,41
,,Ashoknagar,42
Maharashtra,27,Thane,21
,,Mumbai Suburban,22
,,Mumbai,23
,,Raigarh,24
,,Ratnagiri,32
,,Sindhudurg,33
,,Pune,25
,,Ahmadnagar,26
,,Solapur,30
,,Satara,31
,,Kolhapur,34
,,Sangli,35
,,Nandurbar,1
,,Dhule,2
,,Jalgaon,3
,,Nashik,20
,,Nanded,15
,,Hingoli,16
,,Parbhani,17
,,Jalna,18
,,Aurangabad,19
,,Bid,27
,,Latur,28
,,Osmanabad,29
,,Buldana,4
,,Akola,5
,,Washim,6
,,Amravati,7
,,Wardha,8
,,Nagpur,9
,,Yavatmal,14
,,Bhandara,10
,,Gondiya,11
,,Gadchiroli,12
,,Chandrapur,13
Manipur,14,Bishnupur,4
,,Thoubal,5
,,Imphal West,6
,,Imphal East,4
,,Senapati,1
,,Tamenglong,2
,,Churachandpur,3
,,Ukhrul,8
,,Chandel,9
Meghalaya,17,West Garo Hills,1
,,East Garo Hills,2
,,South Garo Hills,3
,,West Khasi Hills,4
,,Ribhoi,5
,,East Khasi Hills,6
,,Jaintia Hills,7
Mizoram,15,Mamit,1
,,Kolasib,2
,,Aizwal,3
,,Champhai,4
,,Serchhip,5
,,Lunglei,6
,,Lawngtlai,7
,,Saiha,8
Nagaland,13,Mon,1
,,Mokokchung,2
,,Zunheboto,3
,,Wokha,4
,,Dimapur,5
,,Phek,6
,,Tuensang,7
,,Longleng,8
,,Kiphire,9
,,Kohima,10
,,Peren,11
Odisha,21,Baleshwar,8
,,Bhadrak,9
,,Kendrapara,10
,,Jagatsinghapur,11
,,Cuttack,12
,,Jajapur,13
,,Nayagarh,16
,,Khordha,17
,,Puri,18
,,Ganjam,19
,,Gajapati,20
,,Kandhamal,21
,,Baudh,22
,,Subarnapur,23
,,Balangir,24
,,Nuapada,25
,,Kalahandi,26
,,Rayagada,27
,,Nabarangapur,28
,,Koraput,29
,,Malkangiri,30
,,Bargarh,1
,,Jharsuguda,2
,,Sambalpur,3
,,Debagarh,4
,,Sundargarh,5
,,Kendujhar,6
,,Mayurbhanj,7
,,Dhenkanal,14
,,Anugul,15
Puducherry,34,Yanam,1
,,Puducherry,2
,,Mahe,3
,,Karaikal,4
Punjab,3,Gurdaspur,1
,,Kapurthala,2
,,Jalandhar,3
,,Hoshiarpur,4
,,Shahid Bhagat Singh Nagar,5
,,Amritsar,15
,,Tarn Taran,16
,,Rupnagar,17
,,Sahibzada Ajit Singh Nagar,18
,,Pathankot,21
,,Fatehgarh Sahib,6
,,Ludhiana,7
,,Moga,8
,,Firozpur,9
,,Muktsar,10
,,Faridkot,11
,,Bhatinda,12
,,Mansa,13
,,Patiala,14
,,Sangrur,19
,,Barnala,20
,,Fazilka,22
Rajasthan,8,Bikaner,3
,,Jodhpur,15
,,Jaisalmer,16
,,Barmer,17
,,Jalor,18
,,Sirohi,19
,,Pali,20
,,Alwar,6
,,Bharatpur,7
,,Dhaulpur,8
,,Karauli,9
,,Sawai Madhopur,10
,,Dausa,11
,,Jaipur,12
,,Ajmer,21
,,Tonk,22
,,Bhilwara,24
,,Rajsamand,25
,,Dungarpur,26
,,Banswara,27
,,Udaipur,32
,,Bundi,23
,,Chittaurgarh,28
,,Kota,29
,,Baran,30
,,Jhalawar,31
,,Pratapgarh,33
,,Sri Ganganagar,1
,,Hanumangarh,2
,,Churu,4
,,Jhunjhunun,5
,,Sikar,13
,,Nagaur,14
Sikkim,11,North District,1
,,West District,2
,,South District,3
,,East District,4
Tamil Nadu,33,Thiruvallur,1
,,Chennai,2
,,Kancheepuram,3
,,Vellore,4
,,Tiruvannamalai,5
,,Viluppuram,6
,,Cuddalore,16
,,Karur,12
,,Tiruchirappalli,13
,,Perambalur,14
,,Ariyalur,15
,,Nagapattinam,17
,,Thiruvarur,18
,,Thanjavur,19
,,Pudukkottai,20
,,Dindigul,11
,,Sivaganga,21
,,Madurai,22
,,Theni,23
,,Virudhunagar,24
,,Ramanathapuram,25
,,Thoothukkudi,26
,,Tirunelveli,27
,,Kanniyakumari,28
,,Salem,7
,,Namakkal,8
,,Erode,9
,,The Nilgiris,10
,,Dharmapuri,29
,,Krishnagiri,30
,,Coimbatore,31
,,Tiruppur,32
Telangana,36,Adilabad,1
,,Komaram Bheem,2
,,Mancherial,3
,,Nirmal,4
,,Nizamabad,5
,,Kamareddy,15
,,Sangareddy,16
,,Medak,17
,,Siddipet,18
,,Medchal-Malkajgiri,21
,,Hyderabad,22
,,Rangareddy,23
,,Vikarabad,24
,,Mahbubnagar,25
,,Jogulamba,26
,,Wanaparthy,27
,,Nagarkurnool,28
,,Jagtial,6
,,Peddapalli,7
,,Jayashankar,8
,,Bhadradri,9
,,Mahabubabad,10
,,Warangal Rural,11
,,Warangal Urban,12
,,Karimnagar,13
,,Rajanna,14
,,Jangaon,19
,,Yadadri,20
,,Nalgonda,29
,,Suryapet,30
,,Khammam,31
Tripura,16,West Tripura,1
,,South Tripura,2
,,Dhalai,3
,,North Tripura,4
Uttarakhand,5,Uttarkashi,1
,,Chamoli,2
,,Rudraprayag,3
,,Tehri Garhwal,4
,,Dehradun,5
,,Garhwal,6
,,Pithoragarh,7
,,Bageshwar,8
,,Almora,9
,,Champawat,10
,,Nainital,11
,,Udham Singh Nagar,12
,,Hardwar,13
Uttar Pradesh,9,Saharanpur,1
,,Muzaffarnagar,2
,,Bijnor,3
,,Moradabad,4
,,Rampur,5
,,Jyotiba Phule Nagar,6
,,Meerut,7
,,Baghpat,8
,,Ghaziabad,9
,,Gautam Buddha Nagar,10
,,Sitapur,23
,,Hardoi,24
,,Unnao,25
,,Lucknow,26
,,Rae Bareli,27
,,Kanpur Dehat,32
,,Kanpur Nagar,33
,,Fatehpur,41
,,Bara Banki,45
,,Pratapgarh,42
,,Kaushambi,43
,,Allahabad,44
,,Faizabad,46
,,Ambedkar Nagar,47
,,Sultanpur,48
,,Bahraich,49
,,Shrawasti,50
,,Balrampur,51
,,Gonda,52
,,Siddharthnagar,53
,,Basti,54
,,Sant Kabir Nagar,55
,,Maharajganj,56
,,Gorakhpur,57
,,Kushinagar,58
,,Deoria,59
,,Azamgarh,60
,,Mau,61
,,Ballia,62
,,Jaunpur,63
,,Ghazipur,64
,,Chandauli,65
,,Varanasi,66
,,Sant Ravidas Nagar(Bhadohi),67
,,Mirzapur,68
,,Sonbhadra,69
,,Jalaun,34
,,Jhansi,35
,,Lalitpur,36
,,Hamirpur,37
,,Mahoba,38
,,Banda,39
,,Chitrakoot,40
,,Bulandshahr,11
,,Aligarh,12
,,Mahamaya Nagar,13
,,Mathura,14
,,Agra,15
,,Firozabad,16
,,Mainpuri,17
,,Budaun,18
,,Bareilly,19
,,Pilibhit,20
,,Shahjahanpur,21
,,Kheri,22
,,Farrukhabad,28
,,Kannauj,29
,,Etawah,30
,,Auraiya,31
,,Etah,70
,,Kanshiram Nagar,71
West Bengal,19,Darjiling,1
,,Jalpaiguri,2
,,Koch Bihar,3
,,Alipurduar,20
,,Kalimpong,21
,,Uttar Dinajpur,4
,,Dakshin Dinajpur,5
,,Maldah,6
,,Murshidabad,7
,,Birbhum,8
,,Nadia,10
,,North Twenty Four Parganas,11
,,Kolkata,16
,,South Twenty Four Parganas,17
,,Purba Barddhaman,9
,,Hugli,12
,,Haora,15
,,Paschim Barddhaman,23
,,Bankura,13
,,Puruliya,14
,,Paschim Medinipur,18
,,Purba Medinipur,19
,,Jhargram,22
